序號	機構單位名稱	原始資料集	地址	電話	資料類別	wgs84aX	wgs84aY
1	仁愛醫院附設居家護理所	居家護理	新北市樹林區文化街9號	26834567#2905	長照		
2	璟馨居家護理所	居家護理	新北市土城區延吉街76號3樓	0918584567	長照		
3	國立台灣大學醫學院附設醫院金山分院附設居家護理所	居家護理	新北市金山區南勢51號2樓	24989898#2305-2306	長照		
4	健綸居家護理所	居家護理	新北市板橋區金門街372巷14號	89698477	長照		
5	聯順居家護理所	居家護理	新北市板橋區永豐街75巷17-1號	89642333	長照		
6	恩樺醫院附設居家護理所	居家護理	新北市土城區中央路一段7-18號2樓	22667857	長照		
7	安歆居家護理所	居家護理	台北市大安區復興南路二段236號12樓	27011740	長照		
8	家馨居家護理所	居家護理	桃園縣龜山鄉復興一路230號5樓之3	(03)2114920	長照		
9	新光醫療財團法人附設新光居家護理所	居家護理	臺北市士林區文昌路95號	28332211#2483	長照		
10	財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院附設居家護理所	居家護理	台北市中山區中山北路二段96巷1~3樓	25433535	長照		
11	行天宮醫療志業醫療財團法人附設恩主公居家護理所	居家護理	新北市三峽區復興路399號	26723456#8713	長照		
12	天主教耕莘醫療財團法人附設耕莘護理之家(居家護理業務)	居家護理	新北市新店區中正路362號	22193391#66140	長照		
13	醫療財團法人徐元智先生醫藥基金會附設亞東居家護理所	居家護理	新北市板橋區南雅南路二段21號	77282928	長照		
14	新北市私立唯愛居家護理所	居家護理	新北市中和區圓通路200之4號	0987143124	長照		
15	忠祥居家護理所	居家護理	新北市中和區中山路2段144號	22475603	長照		
16	同仁院醫療財團法人附設居家護理所	居家護理	臺北市中華路2段606巷6號6樓	0977222468	長照		
17	安心居家護理所	居家護理	新北市三重區溪尾街126巷26號	0958523616	長照		
18	瑞光居家呼吸照護所	居家護理	臺北市松江路330巷55號	25671855	長照		
19	泰安醫院附設居家護理所	居家護理	臺北市民權東路二段92巷21號	25251111#161	長照		
20	衛生福利部雙和醫院(委託臺北醫學大學興建經營)	居家護理	新北市中和區中正路291號	22490088#8603、2075	長照		
21	旺福居家護理所	居家護理	新北市三重區溪尾街328之11號13樓	29738188	長照		
22	佛教慈濟醫療財團法人附設臺北慈濟居家護理所	居家護理	新北市新店區建國路289號	66289779#3546	長照		
