no	area	title	address	tel	wgs84aX	wgs84aY	data_type
1	板橋區	上乘三家板橋旗艦店(采沅小吃店)	新北市板橋區實踐路25號	2956-6050	121.4637268	25.00729055	共食
2	板橋區	廣香龍莘樓	新北市板橋區重慶路247號2樓	2963-3600	121.4633744	25.00052123	共食
3	板橋區	街角2號音樂主題餐廳	新北市板橋區中山路一段2號2樓－2	2953-1095	121.459669	25.00734751	共食
4	板橋區	晶宴會館板橋館	新北市板橋區中山路一段161號1F 	2962-6188	121.4656242	25.01208148	共食
5	板橋區	海釣族海鮮小館	新北市板橋區文化路二段126號 	2253-1234	121.4698133	25.0266602	共食
6	板橋區	寬心園精緻蔬食料理-板橋中山店	新北市板橋區中山路一段158號	8953-2983	121.4659668	25.01183021	共食
7	三重區	新蓉園餐廳股份有限公司	新北市三重區中山路383號	2999-2525	121.4660374	25.06172069	共食
8	三重區	萊爾富三重星光店	新北市三重區中正北路25巷5號	8978-3402	121.4926177	25.06202496	共食
9	三重區	全家三重大成店	新北市三重區大同北路1號.	2982-8845	121.4955286	25.06213375	共食
10	三重區	7-ELEVEN大智門市	新北市三重區大同北路63號	2983-6622	121.495171	25.06350525	共食
11	三重區	五福牛肉麵	新北市三重區自強路5段31號之一	2989-3450	121.4935218	25.08104625	共食
12	三重區	甘欣便當	新北市三重區自強路5段59號1樓	2989-1138	121.4945024	25.08162582	共食
13	三重區	福隆便當	新北市三重區自強路5段54號1樓	2986-6899	121.4935965	25.08127716	共食
14	三重區	麥味登早餐	新北市三重區自強路5段47號1樓	8981-2988	121.4942842	25.08149278	共食
15	三重區	嘉珍便當	新北市三重區自強路5段40號1樓	2987-4219	121.4931567	25.08103113	共食
16	三重區	愛心素食店	新北市三重區自強路5段3號1樓	2980-9330	121.4922126	25.08026233	共食
17	三重區	劉太太素食店	新北市三重區仁政街205號對面	0982-972-479	121.4906514	25.08054144	共食
18	三重區	豪美自助餐	新北市三重區仁愛街369號	8985-7069	121.4916966	25.08030024	共食
19	三重區	煎煮炒小吃店	新北市三重區仁愛街503號	2988-5409	121.4882047	25.0822959	共食
20	三重區	清玉-五華店	新北市三重區五華街96號	8988-1127	121.4927876	25.08238471	共食
21	三重區	清心素食坊	新北市三重區碧華街295號	2857-9840	121.4904983	25.08382756	共食
22	三重區	八好茶舖	新北市三重區碧華街354號	0922-127-235	121.4905846	25.08409839	共食
23	三重區	周家甜不辣 	新北市三重區碧華街364號	2857-0290	121.4907411	25.08421612	共食
24	三重區	幾分甜-重華店	新北市三重區五華街128號	2988-1818	121.4917586	25.08342245	共食
25	三重區	定食8-蘆洲家店	新北市三重區五華街282號	2855-9697	121.4864799	25.08799542	共食
26	三重區	定食8-重新店	新北市三重區重新路5段654號1樓	8512-3104	121.4671231	25.0430697	共食
27	三重區	溪尾水餃牛肉麵	新北市三重區溪尾街261號	0933-3049-981	121.4878063	25.0819254	共食
28	三重區	錢都涮涮鍋	新北市三重區仁愛街510號	2286-3568	121.4873999	25.08206816	共食
29	三重區	珍味麵線	新北市三重區仁愛街520號對面	8985-2142	121.4869271	25.0819703	共食
30	三重區	溪美米粉湯	新北市三重區福隆路83號	0958-816-757	121.4919674	25.07806221	共食
31	三重區	大象饅頭	新北市三重區大同北路89號	2989-7416	121.4947551	25.06373244	共食
32	三重區	五華早餐堡	新北市三重區仁義街286號	8287-9557	121.4936175	25.08612067	共食
33	三重區	貴族世家三重中正店	新北市三重區中正北路510號	8982-6252	121.4724787	25.07166603	共食
34	三重區	郭媽媽小吃店	新北市三重區重陽路1段45號巷口	0988-370-646	121.4888562	25.06635196	共食
35	三重區	知高飯	新北市三重區溪尾街206號	2287-5997	121.4881073	25.08116053	共食
36	三重區	可獅切仔麵	新北市三重區仁愛街510號	2286-7841	121.4873999	25.08206816	共食
37	三重區	雞籠咖喱炒麵	新北市三重區溪尾街217號	2983-8896	121.4884502	25.08099284	共食
38	三重區	廣東粥 	新北市三重區環河南路221巷36號	0955-519-865	121.4909054	25.05276492	共食
39	三重區	力行魷魚羹	新北市三重區過圳街42-7號	8983-8897	121.4880263	25.05970376	共食
40	三重區	日式蔥燒餅 	新北市三重區過圳街42-2號	2985-9113	121.4880263	25.05970376	共食
41	三重區	松原牛排館 	新北市三重區環河南路221巷40號	2976-4185	121.4907798	25.0528303	共食
42	三重區	美冠早餐	新北市三重區過圳街42-6號	2984-9884	121.4880263	25.05970376	共食
43	三重區	長逢精緻小館	新北市三重區集美街115號	2976-7156	121.4898121	25.05282537	共食
44	三重區	麥味登早餐（中正店）	新北市三重區中正北路20巷2號	2971-7619	121.4882264	25.06282347	共食
45	三重區	珍之香牛肉麵	新北市三重區過圳街42-11號	0936-823-319	121.4880263	25.05970376	共食
46	三重區	小李子麵店 	新北市三重區民生街96號	2988-7584	121.4896931	25.06357731	共食
47	三重區	麻妃頂級麻辣鴛鴦鍋 	新北市三重區重安街110號	8972-8898	121.4933719	25.05569884	共食
48	三重區	傳統集美店 	新北市三重區集美161號	8397-2698	121.4883632	25.06083342	共食
49	三重區	香緣麵包店 	新北市三重區集美街111號	2978-8514	121.4896534	25.05287606	共食
50	三重區	好餅家 	新北市三重區雙園街10號1樓	2981-2987	121.4976857	25.06813788	共食
51	三重區	自強鐵板燒 	新北市三重區自強路1段208號1樓	2988-1330	121.4943803	25.06647752	共食
52	三重區	五燈獎豬腳	新北市三重區自強路1段119號1樓	2984-3029	121.4956672	25.06650323	共食
53	三重區	驊星麵包店 	新北市三重區自強路1段121號1樓	2985-2999	121.4956113	25.06649863	共食
54	三重區	家緹牛排 	新北市三重區成功路83號	29746358	121.4885772	25.05134416	共食
55	三重區	尼克廚房 	新北市三重區新北大道一段11號B1	89881107	121.4884001	25.06119905	共食
56	三重區	美芝城重陽店  	新北市三重區重陽路1段113巷1弄5號	89851645	121.4874146	25.0597417	共食
57	三重區	醇樸小鎮  	新北市三重區新北大道1段46巷12號	29836312	121.4880048	25.06186545	共食
58	三重區	阿滿鍋貼 	新北市三重區自強路5段33號	29899554	121.493627	25.08110801	共食
59	三重區	阿信鵝肉快炒店 	新北市三重區自強路1段316號	29887961	121.4910802	25.06848052	共食
60	三重區	萬佳香宏文店	新北市三重區重陽路1段43巷28號	29847806	121.4881803	25.05840869	共食
61	三重區	兄妹麵館珈琲	新北市三重區中正北路42-1號1樓	29712717	121.4878075	25.0636585	共食
62	永和區	小張大滷麵	新北市永和區光復街2巷2號	2924-0210	121.5166699	25.01654995	共食
63	永和區	老黃自助餐	新北市永和區永和路2段332號	2927-1096	121.5164275	25.01655749	共食
64	永和區	西?日式創意料理	新北市永和區竹林路44號	8660-6935	121.5175404	25.01427878	共食
65	永和區	上海宴餐廳	"新北市中和區中安街85號B1
（中央圖書館B1）"	0928-385-415	121.512296	25.00161779	共食
66	永和區	竹林肉?	新北市永和區竹林路39巷口	8925-3322	121.5179558	25.01436469	共食
67	永和區	宜味生猛海鮮	新北市永和區竹林路71號	8925-8686	121.518627	25.01354671	共食
68	永和區	京席素食料理	新北市永和區復興街65號	2232-3541	121.5173184	25.01382308	共食
69	永和區	家鄉園	新北市永和區復興街85號	2925-7769	121.5176157	25.01406569	共食
70	永和區	愛麗輕食咖啡館	新北市永和區中興街3巷1號	Aug-29	121.5155852	25.01217736	共食
